Complex Name,Street Address,Min Price,Max Price,Types Available,Square Footage,Primary Image URL,Phone Number
300 E Washington St,300 E Washington St Syracuse NY 13202,1700,4500,Studio - 3 Beds,,https://images1.apartments.com/i2/AW7TRaY3DqhCWmeRNIVfcHvchZqDrUmPToIMTkEkFhU/117/300-e-washington-st-syracuse-ny-building-photo.jpg?p=1,315-470-6366
Iron Pier Apartments,720 Van Rensselaer St Syracuse NY 13204,1500,2750,1-2 Beds,,https://images1.apartments.com/i2/QA6TeytMMugC4r-l2FReuMQ2NFm5H_U2VpLQrsahfWw/117/iron-pier-apartments-syracuse-ny-primary-photo.jpg?p=1,315-627-2631
Regency Tower,770 James St Syracuse NY 13203,1000,2200,Studio - 3 Beds,,https://images1.apartments.com/i2/tBqaQbmDIfG3o90H4LlxHCazzlm9dUjjdb4FHtU0dc4/117/regency-tower-syracuse-ny-upgraded-studio-766sqft.jpg?p=1,315-915-2037
The Coda,399 S Crouse Ave Syracuse NY 13210,1595,2395,Studio - 3 Beds,,https://images1.apartments.com/i2/Tb_L5zMoG8GIFDqj_aYfPxy4Xp1DCZM3Y-3xPfS2X9Y/117/the-coda-syracuse-ny-building-photo.jpg?p=1,315-715-3013
One Webster's Landing,1 Websters Lndg Syracuse NY 13203,1675,2025,1 Bed,,https://images1.apartments.com/i2/qKMS1ePIxsvx73-eAV6JM2_w3xPYuwyHMMnCCMOdwHM/117/one-websters-landing-syracuse-ny-building-photo.jpg?p=1,680-207-3872
Theory Syracuse,919 E Genesee St Syracuse NY 13210,984,1969,Studio - 4 Beds,,https://images1.apartments.com/i2/If4yg4IwsZxFoYzj4yirRCM0iwmwSB8L0hVTTmtXGqg/117/theory-syracuse-syracuse-ny-building-photo.jpg?p=1,680-207-3884
314 Oak St,314-316 Oak St Syracuse NY 13203,1200,1500,1-2 Beds,,https://images1.apartments.com/i2/j2pSfjUxZn5LqnhpPM0NzkrzJSb3ayD5Xb7FdnJvG2o/117/314-oak-st-syracuse-ny-interior-photo.jpg?p=1,315-470-6212
Bentley Lofts,120 Walton St Syracuse NY 13202,1995,3750,1-2 Beds,,https://images1.apartments.com/i2/-RtsuuKxeqB2LK3cMDSpebvPoLj_ijJy5wGRZjBmeUg/117/bentley-lofts-syracuse-ny-building-photo.jpg?p=1,844-926-3026
State Tower,109 S Warren St Syracuse NY 13202,1825,2300,Studio - 1 Bed,,https://images1.apartments.com/i2/y9A892rb3gS4Yp1hkC8F7k3KgiTg7u68BPOTAxCK7do/117/state-tower-syracuse-ny-building-photo.jpg?p=1,315-870-1171
Fayette Place,712-714 E Fayette St Syracuse NY 13210,1400,1600,1 Bed,,https://images1.apartments.com/i2/TlVDpAu5NRCjQ5k3CPAvFUQHqD6EIbYdW4-NhzbEFWk/117/fayette-place-syracuse-ny-interior-photo.jpg?p=1,315-627-2648
